,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
1027,1027.0,1030.0,Fenbendazole,RB24,43210-67-9,299.0728477,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,CC1CCCO1,2-Methly tetrahydrofurane,0.513930246,0.066519106,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O.CC1CCCO1,0.18997755337332367,0.7039077993733237
725,725.0,728.0,4-Acetoamidophenol,AP37,103-90-2,151.0,OC1=CC=C(NC(C)=O)C=C1,CC(O)C,2-Propanol,0.769687713,0.058279935,OC1=CC=C(NC(C)=O)C=C1.CC(O)C,0.18985558140173553,0.5798321315982645
423,423.0,424.0,4-Acetoamidophenol,AP37,103-90-2,151.0633285,OC1=CC=C(NC(C)=O)C=C1,CCOC(C)=O,Etyl acetate,0.239897231,0.035042011,OC1=CC=C(NC(C)=O)C=C1.CCOC(C)=O,0.1889072397144544,0.4288044707144544
743,743.0,746.0,2-BROMO-1-PHENYLETHAN-1-OL,CA228,2425-28-7,201.1,C1=CC=C(C=C1)C(CBr)O,CC(O)C,2-Propanol,-0.199602499,0.300156385,C1=CC=C(C=C1)C(CBr)O.CC(O)C,0.1869917144111287,-0.0126107845888713
459,459.0,460.0,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CCOC(C)=O,Etyl acetate,0.681837537,0.114930821,COC1=CC(OC)=CC(Br)=C1.CCOC(C)=O,0.18477819766689746,0.4970593393331026
1012,1012.0,1015.0,"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CC1CCCO1,2-Methly tetrahydrofurane,0.514654296,0.034166669,OC1=CC(C)=CC=C1C.CC1CCCO1,0.18382117331618242,0.3308331226838176
522,522.0,523.0,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CC(C)=O,Acetone,0.780565213,0.003259476,C1=CC(=CC=C1O)Br.CC(C)=O,0.18343406372284077,0.5971311492771593
769,769.0,772.0,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC(O)C,2-Propanol,0.14808957,0.137427041,c1ccc2c(c1)Cc1ccccc1-2.CC(O)C,0.1814246721771149,0.3295142421771149
873,873.0,876.0,N-Phenyl-1-naphthylamine,CJ92,90-30-2,219.3,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,CC1=CC=CC=C1,Toluene,0.4624465,0.01699958,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32.CC1=CC=CC=C1,0.18061947455410787,0.2818270254458921
451,451.0,452.0,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.7945517,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CCOC(C)=O,Etyl acetate,0.586941064,0.057342029,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CCOC(C)=O,0.17652842096329724,0.4104126430367028
1033,1033.0,1036.0,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC1CCCO1,2-Methly tetrahydrofurane,0.220677424,0.057382871,c1ccc2c(c1)Cc1ccccc1-2.CC1CCCO1,0.17268817891506177,0.3933656029150618
999,999.0,1002.0,"2,6-Lutidine",CC50,108-48-5,107.0,CC1=NC(C)=CC=C1,CC1CCCO1,2-Methly tetrahydrofurane,0.06745422,0.050103344,CC1=NC(C)=CC=C1.CC1CCCO1,0.1716453673167514,0.2390995873167514
467,467.0,468.0,1-Methylnaphthalene,CC25,90-12-0,142.0,CC1=CC=CC2=CC=CC=C12,CCOC(C)=O,Etyl acetate,0.496692534,0.066835807,CC1=CC=CC2=CC=CC=C12.CCOC(C)=O,0.17123594059399183,0.3254565934060082
801,801.0,804.0,2-BROMO-1-PHENYLETHAN-1-OL,CA228,2425-28-7,201.1,C1=CC=C(C=C1)C(CBr)O,CCO,Ethanol,0.404216835,0.013844105,C1=CC=C(C=C1)C(CBr)O.CCO,0.1704847246146112,0.2337321103853888
