,Unnamed: 0,Unnamed: 0.1,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,dm300_err,dm300_measured,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1
206,769,772,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC(O)C,2-Propanol,0.14808957,0.137427041,c1ccc2c(c1)Cc1ccccc1-2.CC(O)C,,,,,,,,0.22942505274854197,0.377514622748542,,,,
94,511,512,1-BUTYL-2-PYRROLIDONE (tamisolve),CO25,3470-98-2,141.21,CCCCN1CCCC1=O,CC(C)=O,Acetone,0.397730772,0.141624989,CCCCN1CCCC1=O.CC(C)=O,,,,,,,,0.22894414142125458,0.6266749134212546,,,,
706,11,1,"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,Methanol,0.6452,0.0316,O=C(O)C1=CC(N)=CC(N)=C1.CO,331.0,19.0,319.0,22.0,212.0,112.0,93.0,0.22721761986142575,0.8724176198614257,373.0,0.0,0.0,0.0
36,453,454,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CCOC(C)=O,Etyl acetate,0.554335327,0.097907901,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CCOC(C)=O,,,,,,,,0.22698384488146472,0.7813191718814647,,,,
436,999,1002,"2,6-Lutidine",CC50,108-48-5,107.0,CC1=NC(C)=CC=C1,CC1CCCO1,2-Methly tetrahydrofurane,0.06745422,0.050103344,CC1=NC(C)=CC=C1.CC1CCCO1,,,,,,,,0.22037644570138148,0.2878306657013815,,,,
407,970,973,Rifaximin,AP63,80621-81-4,785.9,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,CC(C)(C)OC,Methyl tert butyl ether,0.869273499,0.011483947,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C.CC(C)(C)OC,,,,,,,,0.2194787997562362,0.6497946992437638,,,,
913,218,19,2-Cyclohexenone,Z177,930-68-7,96.0,C1CC=CC(=O)C1,CO,Methanol,0.4067,0.0207,C1CC=CC(=O)C1.CO,4.0,42.0,189.0,94.0,14.0,362.0,119.0,0.2177494506925291,0.6244494506925291,71.0,69.0,69.0,69.0
6,423,424,4-Acetoamidophenol,AP37,103-90-2,151.0633285,OC1=CC=C(NC(C)=O)C=C1,CCOC(C)=O,Etyl acetate,0.239897231,0.035042011,OC1=CC=C(NC(C)=O)C=C1.CCOC(C)=O,,,,,,,,0.21647702306236272,0.4563742540623627,,,,
748,53,160,"4,4'-Bipyridine",CA172,553-26-4,156.0687483,C1(C2=CC=NC=C2)=CC=NC=C1,CO,Methanol,0.7777,0.005,C1(C2=CC=NC=C2)=CC=NC=C1.CO,19.0,218.0,78.0,100.0,284.0,232.0,205.0,0.21301965653222832,0.5646803434677716,134.0,154.0,154.0,154.0
833,138,220,"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CO,Methanol,0.8781,0.0036,OC1CCCC2=C1C=CC=C2.CO,283.0,287.0,21.0,222.0,307.0,97.0,368.0,0.212361279503671,0.665738720496329,302.0,219.0,219.0,220.0
173,736,739,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CC(O)C,2-Propanol,0.012857842,0.084687574,N#CC1=CC(F)=CC(F)=C1.CC(O)C,,,,,,,,0.2122308731151592,0.2250887151151592,,,,
105,522,523,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CC(C)=O,Acetone,0.780565213,0.003259476,C1=CC(=CC=C1O)Br.CC(C)=O,,,,,,,,0.21202794627875687,0.5685372667212432,,,,
777,82,39,Diphenylamine,CQ1,122-39-4,169.0891494,C1(NC2=CC=CC=C2)=CC=CC=C1,CO,Methanol,0.4058,0.0619,C1(NC2=CC=CC=C2)=CC=CC=C1.CO,297.0,22.0,190.0,38.0,87.0,161.0,54.0,0.21150313808409166,0.6173031380840917,296.0,315.0,315.0,316.0
86,503,504,5-Bromo-2-methoxypyrimidine,CB16,14001-66-2,189.01,COc1ncc(Br)cn1,CC(C)=O,Acetone,0.169173329,0.063183658,COc1ncc(Br)cn1.CC(C)=O,,,,,,,,0.20978084828509289,0.3789541772850929,,,,
95,512,513,"1,5-Difluoro-2,4-dinitrobenzene",CA61,327-92-4,203.998263,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-],CC(C)=O,Acetone,0.890880348,0.013721493,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-].CC(C)=O,,,,,,,,0.20700097981676058,0.6838793681832395,,,,
429,992,995,Benzimidazole,CC12,51-17-2,118.0530982,C12=CC=CC=C1NC=N2,CC1CCCO1,2-Methly tetrahydrofurane,-0.037449984,0.086308018,C12=CC=CC=C1NC=N2.CC1CCCO1,,,,,,,,0.2067755627263434,0.1693255787263434,,,,
619,22,39,4-Aminobenzonitrile,CA119,873-74-5,118.0530982,N#CC1=CC=C(N)C=C1,O=CN(C)C,Dimethyl formamide,0.655688194,0.015931673,N#CC1=CC=C(N)C=C1.O=CN(C)C,48.0,59.0,19.0,15.0,1059.0,1062.0,,0.20644685357245102,0.449241340427549,,,,
184,747,750,"4,5-dichlorophthalonitrile",CP8,139152-08-2,197.0,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N,CC(O)C,2-Propanol,0.095031002,0.185901218,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N.CC(O)C,,,,,,,,0.20561007701917802,0.300641079019178,,,,
683,86,38,2-amino-5-nitrophenol,CP28,121-88-0,154.0,OC1=CC([N+]([O-])=O)=CC=C1N,O=CN(C)C,Dimethyl formamide,0.833153158,0.01056884,OC1=CC([N+]([O-])=O)=CC=C1N.O=CN(C)C,49.0,78.0,30.0,8.0,1052.0,1055.0,,0.20161997308666657,0.6315331849133334,,,,
306,869,872,Biphenyl,N53,92-52-4,154.21,c1ccc(-c2ccccc2)cc1,CC1=CC=CC=C1,Toluene,0.274605541,0.037654989,c1ccc(-c2ccccc2)cc1.CC1=CC=CC=C1,,,,,,,,0.1965829322281167,0.0780226087718833,,,,
301,864,867,Flavanone,CB140,487-26-3,224.0837296,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,CC1=CC=CC=C1,Toluene,0.507277613,0.015132611,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3.CC1=CC=CC=C1,,,,,,,,0.19606905977841255,0.3112085532215874,,,,
463,1026,1029,Benzbromarone,RB30,3562-84-3,421.9153184,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,CC1CCCO1,2-Methly tetrahydrofurane,0.538800299,0.069756346,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC.CC1CCCO1,,,,,,,,0.19329494183916185,0.7320952408391619,,,,
441,1004,1007,Piroxicam,RB38,36322-90-4,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC1CCCO1,2-Methly tetrahydrofurane,0.886650191,0.051435093,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC1CCCO1,,,,,,,,0.19293497257874692,0.693715218421253,,,,
72,489,490,4-Hydroxy-3-methoxybenzyl alcohol,CO31,498-00-0,154.0629942,COC1=CC(CO)=CC=C1O,CC(C)=O,Acetone,0.569696553,0.110205431,COC1=CC(CO)=CC=C1O.CC(C)=O,,,,,,,,0.19249874803567413,0.7621953010356741,,,,
715,20,38,"2,6-Diaminopyridine",Z7,141-86-6,109.0,NC1=CC=CC(N)=N1,CO,Methanol,0.7112,0.0436,NC1=CC=CC(N)=N1.CO,24.0,75.0,55.0,40.0,378.0,107.0,173.0,0.19111067617572397,0.5200893238242761,157.0,20.0,20.0,20.0
283,846,849,2-Methylpyridine,CD8,109-06-8,93.05784922,CC1=NC=CC=C1,CC1=CC=CC=C1,Toluene,0.030312224,0.030067244,CC1=NC=CC=C1.CC1=CC=CC=C1,,,,,,,,0.1909913356173462,-0.1606791116173462,,,,
712,17,178,4-Hydroxy-3-methoxybenzyl alcohol,CO31,498-00-0,154.0629942,COC1=CC(CO)=CC=C1O,CO,Methanol,0.9663,0.005,COC1=CC(CO)=CC=C1O.CO,29.0,137.0,11.0,85.0,154.0,56.0,178.0,0.1900070314433434,0.7762929685566566,76.0,55.0,55.0,55.0
480,1043,1046,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC1CCCO1,2-Methly tetrahydrofurane,0.424866831,0.06623393,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC1CCCO1,,,,,,,,0.18972768493516012,0.6145945159351601,,,,
419,982,985,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CC(C)(C)OC,Methyl tert butyl ether,-0.12249644,0.233649633,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CC(C)(C)OC,,,,,,,,0.1848169725681671,0.0623205325681671,,,,
410,973,976,Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC(C)(C)OC,Methyl tert butyl ether,-0.150248486,0.237436582,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC(C)(C)OC,,,,,,,,0.1840224241814642,0.0337739381814642,,,,
919,224,140,1-BUTYL-2-PYRROLIDONE (tamisolve),CO25,3470-98-2,141.21,CCCCN1CCCC1=O,CO,Methanol,0.837,0.0048,CCCCN1CCCC1=O.CO,316.0,178.0,357.0,248.0,185.0,246.0,223.0,0.18263089484681894,0.654369105153181,352.0,179.0,179.0,179.0
462,1025,1028,"4,4'-Difluorobenzophenone",CO28,345-92-6,218.0,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CC1CCCO1,2-Methly tetrahydrofurane,0.627888846,0.087973727,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CC1CCCO1,,,,,,,,0.18121250142610623,0.4466763445738937,,,,
393,956,959,1-(4-BROMOPHENYL)ETHANOL,RC22,5391-88-8,201.1,CC(C1=CC=C(C=C1)Br)O,CC(C)(C)OC,Methyl tert butyl ether,-0.239239068,0.235354625,CC(C1=CC=C(C=C1)Br)O.CC(C)(C)OC,,,,,,,,0.1808562321887597,-0.0583828358112403,,,,
469,1032,1035,Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC1CCCO1,2-Methly tetrahydrofurane,0.51293181,0.048950279,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC1CCCO1,,,,,,,,0.18078340842125307,0.693715218421253,,,,
632,35,57,,Z8,5779-95-3,134.0,O=CC1=CC(C)=CC(C)=C1,O=CN(C)C,Dimethyl formamide,0.478813339,0.016058154,O=CC1=CC(C)=CC(C)=C1.O=CN(C)C,21.0,35.0,98.0,61.0,1105.0,1108.0,,0.1777642745330461,0.6565776135330461,,,,
224,787,790,Benzimidazole,CC12,51-17-2,118.0530982,C12=CC=CC=C1NC=N2,CCO,Ethanol,0.533581131,0.018218489,C12=CC=CC=C1NC=N2.CCO,,,,,,,,0.17747388662740732,0.3561072443725927,,,,
