,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
167,55,8,128,190,161,176,38,223,139,200,200,200,,Z22,626-05-1,235.0,BrC1=CC=CC(Br)=N1,CO,Methanol,0.1626,0.0173,BrC1=CC=CC(Br)=N1.CO,0.1574664995238422,0.3200664995238422
159,175,138,208,267,195,359,353,234,349,786,786,789,3-Fluoroaniline,CB145,372-19-0,111.0484274,NC1=CC=CC(F)=C1,CCO,Ethanol,0.126280491,0.007299059,NC1=CC=CC(F)=C1.CCO,0.15731819022103471,0.2835986812210347
6,93,58,140,76,194,180,146,104,159,858,858,861,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CC1=CC=CC=C1,Toluene,0.392619807,0.041411104,O=C1NC2=C(C=CC(Br)=C2)C1.CC1=CC=CC=C1,0.15678521125070458,0.2358345957492954
52,22,151,146,491,280,372,170,261,367,364,364,365,3-Bromo-9H-carbazole,RSY15,1592-95-6,246.1,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,CO,Methanol,0.6997,0.0271,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32.CO,0.15652537299157676,0.8562253729915767
96,169,168,70,63,79,136,34,360,285,792,792,795,2-bromo-6-nitrophenol,CB150,13073-25-1,216.9374551,OC1=C([N+]([O-])=O)C=CC=C1Br,CCO,Ethanol,0.242373974,0.007870439,OC1=C([N+]([O-])=O)C=CC=C1Br.CCO,0.1561937120321597,0.3985676860321597
59,139,120,89,179,160,53,108,87,117,30,30,30,4-Fluorobenzoic acid,CC4,456-22-4,140.0,O=C(O)C1=CC=C(F)C=C1,CO,Methanol,0.8535,0.0269,O=C(O)C1=CC=C(F)C=C1.CO,0.15540256648822703,0.698097433511773
34,18,162,18,99,163,170,309,290,351,277,277,278,2-Methylanisole,CJ7,578-58-5,122.0,COC1=CC=CC=C1C,CO,Methanol,0.6572,0.0103,COC1=CC=CC=C1C.CO,0.1549589482934436,0.5022410517065564
238,240,198,398,311,121,237,198,284,133,89,89,89,4-Methoxyphenol,D3 ,150-76-5,124.0,COc1ccc(O)cc1,CO,Methanol,0.2065,0.0803,COc1ccc(O)cc1.CO,0.15481755405400513,0.3613175540540051
184,180,147,194,181,173,458,339,455,219,296,296,297,"4,4'-(hexafluoroisopropylidene) dianiline",CA18,1095-78-9,334.0904677,FC(F)(F)C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)C(F)(F)F,CO,Methanol,0.8414,0.0088,FC(F)(F)C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)C(F)(F)F.CO,0.1543058517730036,0.9957058517730036
1,23,91,54,93,139,150,343,463,374,329,329,330,"3-BROMOTOLUENE, 98%",D23,591-17-3,170.0,Cc1cccc(Br)c1,CO,Methanol,0.555,0.0206,Cc1cccc(Br)c1.CO,0.15414576615237757,0.4008542338476225
107,53,63,86,69,141,104,136,78,207,663,663,664,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CC#N,Acetonitrile,0.965074927,0.002321164,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CC#N,0.15393936602735658,0.8111355609726434
137,24,75,392,154,174,197,221,412,95,1039,1039,1042,4-tert-Butylstyrene,RB56,1746-23-2,160.26,C=Cc1ccc(C(C)(C)C)cc1,CC1CCCO1,2-Methly tetrahydrofurane,0.286673472,0.042071735,C=Cc1ccc(C(C)(C)C)cc1.CC1CCCO1,0.1534272703394831,0.4401007423394831
113,42,159,154,129,91,134,49,89,157,330,330,331,5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,CO,Methanol,0.444,0.0477,CN1C=CC2=C1C=CC(=C2)Br.CO,0.15194773714885784,0.5959477371488578
147,77,72,24,30,14,62,57,157,4,688,688,690,Flavanone,CB140,487-26-3,224.0837296,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,CC#N,Acetonitrile,0.940840242,0.002629894,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3.CC#N,0.15147411533832578,0.7893661266616743
